N,Parameter1,Parameter2,EmpricalParameter1,EmpricalParameter2,EmpricalParameter3,EmpricalParameter4,SelsectEmpricalParameter1,SelsectEmpricalParameter2,SelsectEmpricalParameter3,SelsectEmpricalParameter4,EliteX1,EliteX2,EliteCost
0,0.5,0.5,0.3,0.4,0.3,0.0,1.0,0.0,0.0,0.0,0,0,8
1,0.45,0.45,0.3,0.3,0.1,0.3,0.0,0.0,0.0,1.0,1,1,10
2,0.505,0.505,0.1,0.2,0.3,0.4,0.0,0.0,0.0,1.0,1,1,10
3,0.5545,0.5545,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1,1,10
4,0.59905,0.59905,0.4,0.2,0.0,0.4,0.0,0.0,0.0,1.0,1,1,10
5,0.639145,0.639145,0.0,0.2,0.3,0.5,0.0,0.0,0.0,1.0,1,1,10
6,0.6752305,0.6752305,0.4,0.0,0.1,0.5,0.0,0.0,0.0,1.0,1,1,10
7,0.70770745,0.70770745,0.0,0.2,0.1,0.7,0.0,0.0,0.0,1.0,1,1,10
8,0.736936705,0.736936705,0.0,0.3,0.4,0.3,0.0,0.0,0.0,1.0,1,1,10
9,0.7632430345,0.7632430345,0.1,0.2,0.4,0.3,0.0,0.0,0.0,1.0,1,1,10
10,0.78691873105,0.78691873105,0.0,0.2,0.2,0.6,0.0,0.0,0.0,1.0,1,1,10
